player,season,total_total_yellow_cards,total_total_red_cards,total_goals,total_shots
aaron cresswell,2015,20.0,0.0,2,114
aaron cresswell,2016,4.0,0.0,2,106
aaron cresswell,2017,8.0,0.0,0,23
aaron hughes,2014,8.0,0.0,1,21
aaron hunt,2012,0.0,6.0,3,107
aaron hunt,2013,12.0,0.0,11,184
aaron hunt,2014,8.0,0.0,7,143
aaron hunt,2015,4.0,0.0,2,24
aaron hunt,2016,8.0,0.0,2,99
aaron hunt,2017,4.0,0.0,0,26
aaron lennon,2014,4.0,0.0,1,66
aaron lennon,2015,12.0,0.0,2,52
aaron lennon,2016,4.0,0.0,5,58
aaron lennon,2017,0.0,0.0,0,9
aaron leya iseka,2017,0.0,0.0,0,17
aaron martin,2017,4.0,0.0,0,41
aaron ramsey,2014,8.0,0.0,6,73
aaron ramsey,2015,24.0,0.0,6,129
aaron ramsey,2016,16.0,0.0,5,176
aaron ramsey,2017,12.0,0.0,0,45
aaron seydel,2017,0.0,0.0,1,12
aaron wilbraham,2014,0.0,0.0,0,2
abdelhamid el kaoutari,2012,8.0,0.0,0,18
abdelhamid el kaoutari,2013,8.0,6.0,0,73
abdelhamid el kaoutari,2014,12.0,6.0,1,82
abdelhamid el kaoutari,2015,12.0,0.0,0,85
abdelhamid el kaoutari,2016,8.0,0.0,1,39
abdelhamid el kaoutari,2017,0.0,0.0,0,2
abdou diallo,2015,0.0,0.0,0,1
abdou diallo,2017,0.0,0.0,0,15
abdoul ba,2015,0.0,0.0,0,16
abdoul razzagui camara,2012,0.0,0.0,1,17
abdoul sissoko,2015,4.0,0.0,0,24
abdoulay konko,2012,12.0,0.0,0,78
abdoulay konko,2013,12.0,0.0,1,85
abdoulay konko,2014,4.0,0.0,1,59
abdoulay konko,2015,0.0,0.0,0,8
abdoulay konko,2016,12.0,0.0,0,74
abdoulay konko,2017,8.0,0.0,0,28
abdoulaye ba,2015,40.0,0.0,1,74
abdoulaye bamba,2012,16.0,0.0,1,74
abdoulaye bamba,2017,4.0,0.0,1,7
abdoulaye diallo,2012,0.0,0.0,0,1
abdoulaye diallo,2016,0.0,0.0,0,4
abdoulaye keita,2012,0.0,0.0,0,1
abdoulaye keita,2013,0.0,0.0,0,5
abdoulaye keita,2014,0.0,0.0,0,9
abdoulaye keita,2015,0.0,0.0,0,9
abdoulaye keita,2017,0.0,0.0,0,6
abdul rahman baba,2013,0.0,0.0,0,32
abdul rahman baba,2015,12.0,0.0,0,51
abdul rahman baba,2017,8.0,0.0,0,36
abel aguilar,2013,56.0,0.0,3,149
abel aguilar,2014,28.0,0.0,1,108
abel aguilar,2015,20.0,0.0,0,48
abou diaby,2016,0.0,0.0,0,6
abou diaby,2017,4.0,0.0,0,5
aboubakar kamara,2015,0.0,0.0,0,1
abraham,2012,32.0,0.0,2,94
abraham,2013,112.0,0.0,2,284
abraham,2014,24.0,0.0,0,90
abraham,2015,56.0,0.0,4,222
abraham,2016,8.0,0.0,2,70
accursio bentivegna,2015,0.0,0.0,0,2
accursio bentivegna,2016,4.0,0.0,0,2
accursio bentivegna,2017,0.0,0.0,0,7
achraf lazaar,2015,8.0,0.0,2,98
achraf lazaar,2016,16.0,0.0,1,119
adam armstrong,2014,0.0,0.0,0,3
adam armstrong,2015,4.0,0.0,0,18
adam bodzek,2013,36.0,0.0,2,151
adam clayton,2017,20.0,0.0,0,63
adam federici,2016,0.0,0.0,0,4
adam federici,2017,4.0,0.0,0,1
adam forshaw,2017,12.0,0.0,0,58
adam lallana,2014,12.0,0.0,8,165
adam lallana,2015,16.0,0.0,5,113
adam lallana,2016,8.0,0.0,4,122
adam lallana,2017,8.0,0.0,7,74
adam masina,2016,32.0,6.0,2,115
adam masina,2017,16.0,0.0,1,67
adam matuschyk,2012,4.0,0.0,0,10
adam matuschyk,2015,0.0,0.0,0,18
adam ounas,2016,16.0,0.0,5,99
adam ounas,2017,16.0,6.0,0,50
adam smith,2016,40.0,0.0,4,228
adam smith,2017,48.0,0.0,2,192
adama ba,2012,0.0,0.0,0,20
adama ba,2013,4.0,0.0,0,28
adama ba,2014,4.0,0.0,3,39
adama diakhaby,2017,4.0,0.0,2,25
adama niane,2015,0.0,0.0,0,8
adama soumaoro,2014,0.0,6.0,0,11
adama soumaoro,2015,0.0,0.0,0,1
adama soumaoro,2016,24.0,0.0,1,86
adama soumaoro,2017,4.0,0.0,0,45
adel taarabt,2014,12.0,0.0,4,114
adel taarabt,2015,0.0,0.0,0,23
ademola lookman,2017,0.0,0.0,1,4
adil rami,2012,36.0,0.0,2,120
adil rami,2013,28.0,0.0,0,90
adil rami,2014,12.0,0.0,3,66
adil rami,2015,20.0,0.0,1,78
adil rami,2016,36.0,0.0,0,84
adil rami,2017,16.0,0.0,0,41
admir mehmedi,2014,8.0,0.0,12,191
admir mehmedi,2015,4.0,0.0,2,81
admir mehmedi,2016,8.0,0.0,2,86
admir mehmedi,2017,4.0,0.0,3,61
adnan januzaj,2014,28.0,0.0,4,136
adnan januzaj,2015,0.0,0.0,0,62
adnan januzaj,2016,4.0,0.0,1,28
adnan januzaj,2017,12.0,0.0,0,59
adnane tighadouini,2016,0.0,0.0,1,26
adrian mariappa,2014,20.0,0.0,1,58
adrian mariappa,2015,12.0,0.0,0,25
adrian mariappa,2016,0.0,0.0,0,8
adrian stoian,2013,4.0,0.0,3,64
adrian stoian,2014,8.0,0.0,0,35
adrian stoian,2017,8.0,0.0,1,33
adriano,2012,12.0,0.0,1,64
adriano,2013,12.0,0.0,5,66
adriano,2014,32.0,0.0,3,110
adriano,2015,8.0,0.0,0,44
adriano,2016,0.0,0.0,0,17
adriano russo,2016,8.0,0.0,1,22
adrien hunou,2014,4.0,0.0,0,43
adrien hunou,2017,8.0,0.0,1,46
adrien rabiot,2013,8.0,0.0,1,67
adrien rabiot,2014,8.0,0.0,2,78
adrien rabiot,2015,4.0,0.0,4,64
adrien rabiot,2016,16.0,0.0,1,76
adrien rabiot,2017,0.0,0.0,1,37
adrien regattin,2012,12.0,0.0,1,89
adrien regattin,2013,8.0,6.0,3,86
adrien regattin,2014,0.0,0.0,0,78
adrien regattin,2015,12.0,0.0,3,124
adrien regattin,2016,20.0,0.0,1,103
adrien thomasson,2012,4.0,0.0,0,6
adrien thomasson,2015,12.0,0.0,2,96
adrien thomasson,2016,28.0,0.0,2,137
adrien thomasson,2017,12.0,6.0,0,54
adrien trebel,2014,0.0,0.0,0,9
aduriz,2016,36.0,0.0,18,251
aduriz,2017,24.0,0.0,6,107
afriyie acquah,2012,16.0,0.0,0,57
afriyie acquah,2013,12.0,0.0,0,23
afriyie acquah,2014,28.0,0.0,1,130
afriyie acquah,2015,52.0,0.0,1,131
afriyie acquah,2016,36.0,0.0,2,117
afriyie acquah,2017,8.0,0.0,0,27
agon mehmeti,2012,0.0,0.0,0,6
ahmad benali,2017,0.0,0.0,1,32
ahmed elmohamady,2014,12.0,0.0,1,88
ahmed elmohamady,2015,16.0,0.0,2,122
ahmed elmohamady,2017,8.0,6.0,0,26
ahmed hegazy,2013,0.0,0.0,0,1
ahmed hegazy,2014,0.0,0.0,0,2
ahmed kantari,2012,8.0,0.0,0,35
ahmed kantari,2013,32.0,0.0,1,99
ahmed kantari,2015,24.0,0.0,1,95
ahmed kashi,2015,8.0,0.0,1,64
ahmed musa,2017,4.0,0.0,2,41
aiden mcgeady,2014,0.0,0.0,0,15
aiden mcgeady,2015,4.0,0.0,1,51
akaki gogia,2012,4.0,0.0,0,31
aketxe,2016,0.0,0.0,0,7
akram afif,2017,0.0,0.0,0,8
alaeddine yahia,2015,12.0,6.0,2,65
alaeddine yahia,2016,20.0,6.0,2,100
alaeddine yahia,2017,12.0,0.0,2,62
alan hutton,2013,16.0,0.0,0,58
alan hutton,2015,32.0,0.0,1,109
alan hutton,2016,32.0,0.0,2,103
alban lafont,2016,0.0,0.0,0,20
alban lafont,2017,8.0,0.0,0,10
alban meha,2015,4.0,0.0,3,117
albano bizzarri,2012,0.0,6.0,0,7
albano bizzarri,2013,0.0,0.0,0,6
albano bizzarri,2014,0.0,0.0,0,1
albano bizzarri,2015,4.0,0.0,0,24
